FileName,MS,TDR,ebike,equity,carMiles,carMilesR,carMiles.pers,carMilesR.pers,carMilesCycled,milesCycled.pers,milesCycled.male,milesCycled.female,milesCycled.white,milesCycled.nonwhite,milesCycled.caraccess,milesCycled.noncaraccess,METh,METhincr,MMETh,MMETh.pers,MMEThincr,CO2.Tm,CO2R.perc,CO2.pers,TripDisIncSW,TripTotalTime1,timeSaved.Total.h,timeSavedCyclists.perc,nocarTrips.people.perc,nocar.males.perc,nocar.females.perc,nocar.white.perc,nocar.nonwhite.perc,nocar.caraccess,nocar.noncaraccess,nopeople,nocyclists,newcyclists,cyclist.potential,cyclists.perc,cyclists.incr,cyclist.male.perc,cyclist.female.perc,cyclist.white.perc,cyclist.nonwhite.perc,cyclist.caraccess.perc,cyclist.noncaraccess.perc,cyclist.nssec1.perc,cyclist.nssec2.perc,cyclist.nssec3.perc,cyclist.nssec4.perc,cyclist.nssec5.perc,trips.bike.perc,trips.nssec1.perc,trips.nssec2.perc,trips.nssec3.perc,trips.nssec4.perc,trips.nssec5.perc,trips.age20.39.perc,trips.age40.59.perc,trips.age60plus.perc,nopeopleWithTrips,People.with.NoTrips,YLL.Reduction.20.39.Males,YLL.Reduction.40.59.Males,YLL.Reduction.60p.Males,YLL.Reduction.20.39.Females,YLL.Reduction.40.59.Females,YLL.Reduction.60p.Females,YLL.Reduction.20.39.All,YLL.Reduction.40.59.All,YLL.Reduction.60p.All,YLL.20.39.Males,YLL.40.59.Males,YLL.60p.Males,YLL.20.39.Females,YLL.40.59.Females,YLL.60p.Females,YLL.20.39.All,YLL.40.59.All,YLL.60p.All
baseline.csv,0,1,0,0,1643074.63,0,109.1,0,0,1.02,1.7,0.39,1.07,0.5,1.01,1.05,91729.9,0,72582.7,5,0,396.8,0,0.026335701,2047965,6315331,0,NaN,13.6,14.6,12.7,11.9,29,5.8,47.3,14502,713,0,0,4.7,0,6.9,2.8,4.9,3,4.6,5.1,5.7,3.6,4.4,3.7,5.9,1.8,1.8,1.3,2.1,1.7,2.9,2.4,1.9,1,14502,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IIyear.MS1_TDR0.7_ebik0_eq0.csv,1,0.7,0,0,1142616.47,500458.16,75.8,33.2,7535.8,1.31,2.17,0.53,1.35,0.92,1.37,1.04,91171.5,-558.4,72227.4,5,-355.3,275.94,30.5,0.018314197,1433575,4463294.2,30867.3,88.8,13.6,14.7,12.7,12,29.2,5.8,47.5,14502,1348,665,719,8.9,89.1,12.8,5.5,9.1,7,9,8.9,9.8,7.7,8.5,8,11.7,3.1,3,2.5,3.4,3.1,4.6,4,3.4,1.7,14502,565,0.31,0.62,0.82,0.06,0.35,0.29,0.37,0.97,1.1,782.65,4593.6,3243.03,46.54,648.05,1118.35,829.19,5241.65,4361.38
IIyear.MS1_TDR0.7_ebik0_eq1.csv,1,0.7,0,1,1142747.27,500327.36,75.8,33.2,7405,1.29,1.75,0.87,1.34,0.79,1.35,1.05,91415.6,-314.3,72426.8,5,-155.9,275.97,30.5,0.018316188,1433575,4464079.1,30854.2,90,13.7,14.6,12.8,12,29.2,5.8,47.4,14502,1340,649,701,8.9,87.9,10.8,7.1,9.2,6.1,8.8,9.3,9.6,8.5,8.5,6.8,10.5,3.1,2.9,2.7,3.4,2.7,4.4,3.7,3.1,2.3,14502,565,-0.05,0.13,1.16,0.29,0.63,2.23,0.24,0.76,3.39,-128.89,431.27,4550.21,190.49,1172.86,8050.67,61.6,1604.13,12600.88
IIyear.MS1_TDR0.7_ebik1_eq0.csv,1,0.7,1,0,1139421.46,503653.17,75.6,33.4,10730.8,1.56,2.42,0.78,1.61,1.05,1.67,1.1,90384,-1345.9,71308.3,4.9,-1274.4,275.17,30.7,0.018263092,1433575,4461703.6,30893.8,81.4,13.7,14.7,12.8,12.1,29.1,5.8,47.6,14502,1368,686,719,9.1,91.9,12.9,5.6,9.3,7.2,9.1,8.9,9.9,7.7,8.7,7.6,12.3,3.6,3.4,2.8,3.9,3.7,5.4,4.6,3.8,2.1,14502,565,0.14,0.44,0.55,0.08,0.35,0.35,0.22,0.79,0.9,326.55,3089.67,2149.2,59.38,647.52,1297.93,385.93,3737.19,3447.13
IIyear.MS1_TDR0.7_ebik1_eq1.csv,1,0.7,1,1,1140089.12,502985.51,75.7,33.4,10063.1,1.5,2,1.05,1.56,0.87,1.59,1.14,90363.7,-1366.2,71294.2,4.9,-1288.5,275.33,30.6,0.018273711,1433575,4460718.9,30910.2,80.8,13.7,14.7,12.7,12,29.2,5.8,47.5,14502,1354,663,701,9,89.9,11,7.1,9.2,6.4,8.9,9.3,9.6,8.6,8.6,6.8,10.8,3.5,3.3,3.1,3.8,3.1,4.8,4.1,3.6,2.7,14502,565,-0.06,0.07,0.71,0.16,0.55,1.62,0.1,0.62,2.33,-169.35,10.53,2839.24,98.36,1026.59,6122.93,-70.99,1037.12,8962.17
IIyear.MS1_TDR0.8_ebik0_eq0.csv,1,0.8,0,0,1306278.98,336795.65,86.7,22.4,8180.7,1.47,2.39,0.63,1.52,0.94,1.54,1.16,92893.5,1163.6,73669,5.1,1086.3,315.47,20.5,0.020937811,1638372,5081316.2,20566.9,93.1,13.6,14.7,12.7,12,29,5.8,47.4,14502,1342,659,719,8.9,88.2,12.7,5.4,9.1,6.9,9,8.7,9.7,7.7,8.5,7.5,12.1,3.2,3.1,2.4,3.5,3.1,4.8,4.1,3.4,1.8,14502,565,0.36,0.8,1.07,0.19,0.44,0.42,0.55,1.24,1.49,879.72,5930.95,4327.54,125.04,811,1524.56,1004.75,6741.95,5852.1
IIyear.MS1_TDR0.8_ebik0_eq1.csv,1,0.8,0,1,1306171.24,336903.39,86.7,22.4,8288.5,1.45,1.97,0.98,1.51,0.83,1.52,1.15,93273.3,1543.4,73976.5,5.1,1393.8,315.44,20.5,0.02093582,1638372,5085675.6,20494.3,101.5,13.6,14.6,12.7,11.9,29,5.8,47.3,14502,1339,647,701,8.9,87.8,11,7,9.2,6.1,8.8,9.1,9.5,8.4,8.6,6.5,10.7,3.1,2.9,2.8,3.4,2.6,4.1,3.6,3.2,2.3,14502,565,0.08,0.24,1.37,0.38,0.83,2.35,0.45,1.08,3.72,202.55,1602.06,5564.83,243.94,1544.68,8463.82,446.49,3146.74,14028.65
IIyear.MS1_TDR0.8_ebik1_eq0.csv,1,0.8,1,0,1302998.41,340076.22,86.5,22.6,11461.3,1.72,2.66,0.87,1.79,1.11,1.82,1.32,92062.7,332.8,72678.6,5,95.9,314.67,20.7,0.020884715,1638372,5080565.2,20579.4,89,13.7,14.8,12.7,12,29.2,5.9,47.5,14502,1360,679,719,9,90.7,12.9,5.5,9.2,7,9,9,9.8,7.8,8.6,7.9,12,3.5,3.4,2.9,3.8,3.7,5.3,4.5,3.7,2.1,14502,565,0.23,0.54,1,0.18,0.46,0.38,0.41,1,1.38,577.69,4154.32,3995.22,126.17,849.12,1400.53,703.86,5003.44,5395.75
IIyear.MS1_TDR0.8_ebik1_eq1.csv,1,0.8,1,1,1303654.34,339420.29,86.5,22.5,10805.4,1.68,2.23,1.18,1.75,0.95,1.76,1.34,92011.9,282,72648,5,65.3,314.83,20.7,0.020895334,1638372,5079130.6,20603.3,87.4,13.7,14.7,12.8,12,29,5.8,47.5,14502,1354,663,701,9,89.9,11,7.1,9.2,6.5,8.9,9.5,9.6,8.4,8.7,6.8,10.7,3.5,3.3,3.2,3.8,3.2,4.8,4.1,3.5,2.7,14502,565,0.08,0.19,1.03,0.31,0.65,1.61,0.39,0.84,2.64,203.64,1321.68,4092.31,200.55,1199.82,5619.07,404.19,2521.5,9711.37
IIyear.MS1_TDR0.9_ebik0_eq0.csv,1,0.9,0,0,1470206.01,172868.62,97.6,11.5,8561.2,1.6,2.62,0.67,1.65,1.04,1.67,1.3,94475,2745.1,74979.9,5.2,2397.2,355.05,10.5,0.023564744,1843168,5702719.6,10210.2,104.9,13.6,14.7,12.7,12,29,5.8,47.4,14502,1325,643,719,8.8,85.8,12.6,5.3,9,6.7,8.8,8.6,9.7,7.5,8.3,7.6,11.7,3.1,3,2.4,3.4,3,4.7,4,3.4,1.7,14502,565,0.58,0.95,1.06,0.26,0.45,0.33,0.84,1.4,1.38,1440.12,7340.88,4369.02,172.71,829.62,1184.82,1612.83,8170.5,5553.84
IIyear.MS1_TDR0.9_ebik0_eq1.csv,1,0.9,0,1,1470667.37,172407.26,97.6,11.4,8099.8,1.55,2.16,1,1.61,0.88,1.61,1.28,94348.7,2618.8,74875,5.2,2292.3,355.17,10.5,0.023572709,1843168,5703738.3,10193.2,107.3,13.6,14.6,12.7,12,29,5.8,47.4,14502,1317,624,701,8.7,84.7,10.8,6.9,9,6.1,8.7,8.8,9.5,8.2,8.4,6.1,10.5,3,2.8,2.7,3.3,2.5,4.2,3.6,3.1,2.3,14502,565,0.16,0.37,1.36,0.37,0.75,2.55,0.54,1.12,3.91,410.91,2458.24,5568.87,242.25,1387.95,9560.69,653.17,3846.19,15129.56
IIyear.MS1_TDR0.9_ebik1_eq0.csv,1,0.9,1,0,1467335.69,175738.94,97.4,11.7,11431.5,1.85,2.84,0.95,1.9,1.27,1.96,1.38,93339.4,1609.5,73737.5,5.1,1154.8,354.36,10.7,0.023518949,1843168,5698917.8,10273.6,96,13.7,14.8,12.7,12,29.2,5.8,47.6,14502,1370,688,719,9.1,92.1,13,5.5,9.3,7.1,9.1,9.1,9.9,7.8,8.7,7.9,12.3,3.4,3.3,2.7,3.8,3.6,5.1,4.5,3.7,2,14502,565,0.38,0.68,1.05,0.23,0.51,0.49,0.62,1.19,1.53,962.23,4991,4329.37,152.94,939.91,1597.12,1115.17,5930.9,5926.49
